posx,posy,posz,turn,tick,
16.713375,4.0100694,36.271378,298,1,
16.758034,4.0093455,36.293884,299,1,
16.803856,4.0086036,36.316982,300,1,
16.854097,4.007792,36.34231,301,1,
16.907297,4.006933,36.369125,302,1,
16.955656,4.006154,36.39349,303,1,
16.997097,4.005487,36.41436,304,1,
17.044214,4.0047293,36.438076,305,1,
17.091808,4.0039654,36.462025,306,1,
17.132727,4.0033097,36.482605,307,1,
17.17089,3.5697017,36.707817,308,1,
17.113323,2.4581783,37.14505,309,1,
17.082722,1.9500376,37.315346,310,1,
17.054756,1.2632023,37.470993,311,1,
17.059427,1.2464781,37.470116,312,1,
17.06611,1.2464781,37.457943,313,1,
17.072794,1.2464781,37.445766,314,1,
17.079477,1.2464781,37.433594,315,1,
17.08616,1.2464781,37.421417,316,1,
17.092838,1.246705,37.409252,317,1,
17.099516,1.247024,37.397083,318,1,
17.106197,1.2472148,37.384914,319,1,
17.112879,1.2473292,37.37274,320,1,
17.11956,1.2474074,37.36057,321,1,
17.126198,1.2474475,37.34848,322,1,
17.132856,1.2474718,37.33635,323,1,
17.13952,1.2474842,37.32421,324,1,
17.146145,1.2474923,37.31214,325,1,
17.152805,1.2474957,37.300007,326,1,
17.159477,1.2474976,37.287853,327,1,
17.166153,1.2474985,37.275692,328,1,
17.17283,1.247499,37.263527,329,1,
17.17951,1.2474995,37.251358,330,1,
17.186192,1.2474995,37.239185,331,1,
17.192873,1.2475,37.227016,332,1,
17.198494,1.2475,37.216778,333,1,
17.20516,1.2475,37.20463,334,1,
17.211843,1.2475,37.19246,335,1,
17.218527,1.2475,37.180283,336,1,
17.22521,1.2475,37.16811,337,1,
17.231894,1.2475,37.155933,338,1,
17.238577,1.2475,37.143757,339,1,
17.244343,1.2475,37.133255,340,1,
17.251009,1.2475,37.12111,341,1,
17.25769,1.2475,37.108936,342,1,
17.264374,1.2475,37.096764,343,1,
17.269995,1.2475,37.08652,344,1,
17.275743,1.2475,37.07605,345,1,
17.282415,1.2475,37.063896,346,1,
17.28803,1.2475,37.053665,347,1,
17.293781,1.2474995,37.04319,348,1,
17.293781,1.2474995,37.04319,349,1,
17.296108,1.2475,37.0569,350,1,
17.296108,1.2475,37.0569,351,1,
17.296108,1.2475,37.0569,352,1,
17.296108,1.2475,37.0569,353,1,
17.296108,1.2475,37.0569,354,1,
17.296108,1.2475,37.0569,355,1,
17.296108,1.2475,37.0569,356,1,
17.296108,1.2475,37.0569,357,1,
17.296108,1.2475,37.0569,358,1,
17.296108,1.2475,37.0569,359,1,
17.296108,1.2475,37.0569,360,1,
17.296108,1.2475,37.0569,361,1,
17.296108,1.2475,37.0569,362,1,
17.296108,1.2475,37.0569,363,1,
17.296108,1.2475,37.0569,364,1,
17.296108,1.2475,37.0569,365,1,
17.296108,1.2475,37.0569,366,1,
17.296108,1.2475,37.0569,367,1,
17.296108,1.2475,37.0569,368,1,
17.296108,1.2475,37.0569,369,1,
17.296108,1.2475,37.0569,370,1,
17.296108,1.2452192,37.0569,371,1,
17.296108,1.2452192,37.0569,372,1,
17.296108,1.2452192,37.0569,373,1,
17.296108,1.2452192,37.0569,374,1,
17.296108,1.2452192,37.0569,375,1,
17.296108,1.2452192,37.0569,376,1,
17.296108,1.2452192,37.0569,377,1,
17.296108,1.2452192,37.0569,378,1,
17.296108,1.2452192,37.0569,379,1,
17.296108,1.2452192,37.0569,380,1,
17.296108,1.2452192,37.0569,381,1,
17.296108,1.2452192,37.0569,382,1,
17.296108,1.2452192,37.0569,383,1,
17.302507,1.2475,37.04468,384,1,
17.302507,1.2475,37.04468,385,1,
17.302507,1.2475,37.04468,386,1,
17.302507,1.2475,37.04468,387,1,
17.302507,1.2475,37.04468,388,1,
17.302507,1.2475,37.04468,389,1,
17.302507,1.2475,37.04468,390,1,
17.302507,1.2475,37.04468,391,1,
17.302507,1.2475,37.04468,392,1,
17.302507,1.2475,37.04468,393,1,
17.302507,1.2475,37.04468,394,1,
17.341238,1.2475,35.311806,395,1,
17.385925,1.2475,33.312332,396,1,
17.430614,1.2475,31.312859,397,1,
17.475132,1.2445192,29.316275,398,1,
17.476376,1.2456212,29.260765,399,1,
17.477621,1.2463751,29.205244,400,1,
17.478867,1.24686,29.149714,401,1,
17.48005,1.247117,29.096956,402,1,
17.480984,1.2472706,29.055305,403,1,
17.481544,1.247376,29.030315,404,1,
17.481855,1.2474332,29.016434,405,1,
17.482166,1.2474618,29.00255,406,1,
17.482475,1.247477,28.988752,407,1,
17.482786,1.2474875,28.97489,408,1,
17.483095,1.2474933,28.961088,409,1,
17.483406,1.2474966,28.947252,410,1,
17.483717,1.247498,28.93339,411,1,
17.484028,1.247499,28.919518,412,1,
17.484339,1.2474995,28.905638,413,1,
17.48465,1.2474995,28.891754,414,1,
17.48496,1.2475,28.877874,415,1,
17.485271,1.2475,28.863989,416,1,
17.485584,1.2475,28.850103,417,1,
17.485895,1.2475,28.836218,418,1,
17.486208,1.2475,28.822332,419,1,
17.486519,1.2475,28.808449,420,1,
17.486832,1.2475,28.794563,421,1,
17.487143,1.2472782,28.780682,422,1,
17.487448,1.2466383,28.766895,423,1,
17.487747,1.2456427,28.753048,424,1,
17.48801,1.2460847,28.741085,425,1,
17.488268,1.2468014,28.730042,426,1,
17.488523,1.2472959,28.718973,427,1,
17.488785,1.2475643,28.70759,428,1,
17.489046,1.2476149,28.695942,429,1,
17.489357,1.2474976,28.682133,430,1,
17.489668,1.2474976,28.668247,431,1,
17.489979,1.2475004,28.654375,432,1,
17.490246,1.2475052,28.642359,433,1,
17.490507,1.2475061,28.630663,434,1,
17.490774,1.2475066,28.61867,435,1,
17.491037,1.2475071,28.606964,436,1,
17.491304,1.2475076,28.594946,437,1,
17.491304,1.2475076,28.594946,438,1,
18.366344,1.2475,27.476568,439,1,
18.400587,1.2475,27.432821,440,1,
18.434828,1.2475,27.389072,441,1,
18.462221,1.2475,27.354074,442,1,
18.47763,1.2475,27.334389,443,1,
18.48619,1.2475,27.323452,444,1,
18.494751,1.2475,27.312515,445,1,
18.503311,1.2475,27.301577,446,1,
18.511871,1.2475,27.29064,447,1,
18.520432,1.2475,27.279703,448,1,
18.528992,1.2475,27.268766,449,1,
18.537552,1.2475,27.25783,450,1,
